number,vib
1,0.683928
2,0.198339
3,2
4,-0.508061
5,-0.084025
6,0.491451
7,-2.000977
8,2
9,-0.507084
10,0.209086
11,-0.155349
12,0.241329
13,-0.085002
14,-0.247191
15,0.033219
16,-0.070347
17,-0.13874
18,0.339033
19,1.404006
20,0.014656
21,0.999511
22,2
23,0.904739
24,0.827553
25,0.338056
26,0.766976
27,0.773815
28,0.412311
29,0.155349
30,-0.113337
31,-0.045921
32,0.500244
33,-0.976063
34,0.460186
35,-0.723986
36,-0.013679
37,0.651685
38,-0.128969
39,-0.354665
40,-0.359551
41,-0.110405
42,-0.133854
43,0.064485
44,0.457255
45,1.566194
46,0.200293
47,0.904739
48,1.549585
49,0.664387
50,2
51,1.064973
52,1.067904
53,0.841231
54,0.687836
55,0.560821
56,0.372252
57,0.159257
58,-0.049829
59,-0.053737
60,-0.099658
61,-0.263801
62,-0.849047
63,-0.634099
64,-0.385931
65,-1.364924
66,-0.527601
67,-0.096727
68,-0.657548
69,-0.382022
70,-0.414265
71,0.275525
72,0.645823
73,1.644358
74,-0.044944
75,1.241817
76,2
77,1.166585
78,1.25745
79,0.339033
80,0.938935
81,0.224719
82,0.726917
83,0.587201
84,0.130923
85,0.06937
86,0.278456
87,0.833415
88,0.614558
89,-0.980948
90,-0.14851
91,-0.181729
92,-1.01319
93,-0.332193
94,-0.058622
95,-0.397655
96,-0.014656
97,-0.277479
98,0.478749
99,0.448461
100,-0.203224
101,-0.09575
102,1.434294
103,2
104,0.547142
105,1.65999
106,1.038593
107,0.814851
108,0.574499
109,0.20127
110,0.638007
111,0.31363
112,0.345872
113,-0.035173
114,-0.107474
115,0.411334
116,-0.397655
117,0.553004
118,-0.362482
119,0.028334
120,0.246214
121,-0.05276
122,0.047875
123,-0.000977
124,-0.247191
125,-0.108451
126,-0.108451
127,0.27064
128,0.568637
129,2
130,0.054714
131,0.98681
132,1.139228
133,1.002443
134,0.86468
135,0.771861
136,0.635076
137,-0.00977
138,0.448461
139,0.224719
140,-0.023449
141,-0.152418
142,-0.218857
143,-0.09575
144,-0.012702
145,-0.784563
146,0.236444
147,0.389839
148,-0.047875
149,-0.266732
150,-0.164143
151,-0.239375
152,-0.141671
153,0.229604
154,0.356619
155,1.01319
156,0.041036
157,1.208598
158,1.126527
159,0.744504
160,1.037616
161,0.429897
162,0.776746
163,-0.492428
164,0.776746
165,0.262824
166,0.291158
167,0.17489
168,0.055691
169,-0.091842
170,0.213972
171,0.399609
172,-0.370298
173,-0.27064
174,0.200293
175,-0.438691
176,-0.13874
177,-0.228627
178,0.203224
179,-0.395701
180,0.146556
181,0.175867
182,1.534929
183,0.04299
184,0.792379
185,0.150464
186,0.520762
187,1.00342
188,0.695652
189,1.181241
190,0.677088
191,0.415242
192,0.645823
193,0.296043
194,0.032242
195,-0.137763
196,0.304836
197,0.204201
198,0.170005
199,-0.022472
200,-0.167074
201,0.02638
202,-1.743039
203,0.022472
204,0.035173
205,-0.150464
206,-0.210064
207,0.253053
208,0.133854
209,0.239375
210,1.016121
211,0.073278
212,1.075721
213,1.074744
214,-0.152418
215,1.152907
216,0.776746
217,0.528578
218,0.911578
219,0.657548
220,0.456277
221,0.736688
222,0.133854
223,0.143625
224,-0.013679
225,-0.047875
226,0.344895
227,-0.492428
228,0.253053
229,-0.709331
230,-0.085002
231,-1.154861
232,-0.385931
233,-0.065462
234,-0.469956
235,-0.348803
236,0.11236
237,0.255984
238,0.214949
239,0.123107
240,0.890083
241,1.472399
242,0.383977
243,1.15193
244,0.624328
245,0.4553
246,0.784563
247,-0.581339
248,0.497313
249,0.163166
250,0.177821
251,0.017587
252,0.077186
253,0.228627
254,-0.295066
255,-0.464094
256,-0.508061
257,-0.678065
258,-0.308745
259,-0.067416
260,-0.305813
261,-0.256961
262,0.168051
263,-0.114314
264,0.140694
265,0.46214
266,0.161212
267,-0.163166
268,1.089399
269,1.328774
270,0.661456
271,1.123596
272,0.90767
273,0.764045
274,0.675134
275,0.452369
276,0.564729
277,0.636053
278,0.243283
279,0.046898
280,0.212995
281,0.328285
282,-0.745481
283,-0.238398
284,-0.154372
285,0.238398
286,-0.168051
287,-0.192477
288,-0.057645
289,-0.625305
290,-0.07914
291,-0.040059
292,0.048852
293,1.048363
294,0.169028
295,1.15193
296,-0.199316
297,0.933073
298,1.124573
299,1.134343
300,0.396678
301,1.0298
302,-0.107474
303,0.563752
304,0.377137
305,0.197362
306,0.204201
307,-0.097704
308,0.33317
309,-0.107474
310,0.154372
311,-1.446996
312,0.194431
313,0.423058
314,0.022472
315,0.084025
316,-0.207132
317,-0.677088
318,-0.167074
319,-0.010747
320,0.281387
321,0.834392
322,0.870542
323,0.060576
324,1.048363
325,-0.650708
326,0.922325
327,0.731803
328,1.113825
329,0.572545
330,-1.017098
331,0.857841
332,0.412311
333,0.199316
334,0.108451
335,0.207132
336,-0.457255
337,-0.920371
338,0.314607
339,-0.775769
340,0.109428
341,0.110405
342,-0.089888
343,-0.382022
344,0.013679
345,-0.21788
346,-0.11236
347,0.411334
348,0.82853
349,2
350,-0.378114
351,0.886175
352,1.661944
353,0.684905
354,0.998534
355,0.422081
356,0.839277
357,0.933073
358,0.422081
359,0.21788
360,0.07914
361,0.120176
362,0.085979
363,0.717147
364,0.25403
365,2
366,-0.618466
367,0.121153
368,0.395701
369,-0.081094
370,-0.177821
371,-0.307767
372,-0.098681
373,-0.294089
374,-0.144602
375,0.258915
376,0.239375
377,0.008793
378,0.999511
379,1.407914
380,0.952614
381,1.053249
382,1.097215
383,1.110894
384,0.629213
385,0.489497
386,0.608696
387,0.397655
388,0.083048
389,0.096727
390,0.049829
391,0.210064
392,-1.479238
393,-0.225696
394,-0.946751
395,0.090865
396,0.356619
397,-0.060576
398,0.011724
399,-0.04299
400,-0.218857
401,-0.076209
402,0.085979
403,0.562775
404,0.378114
405,-0.033219
406,1.452858
407,1.021983
408,0.228627
409,1.037616
410,0.984856
411,1.160723
412,0.587201
413,-0.799218
414,0.661456
415,0.245237
416,0.263801
417,0.090865
418,-0.369321
419,-0.039082
420,-0.607719
421,2
422,-0.365413
423,-0.240352
424,-0.153395
425,-0.034196
426,-0.263801
427,-0.210064
428,-0.012702
429,-0.166097
430,0.029311
431,0.279433
432,0.878359
433,0.815828
434,0.56766
435,0.987787
436,1.219345
437,0.98681
438,0.487543
439,0.745481
440,1.044455
441,0.707377
442,0.499267
443,0.7064
444,0.219834
445,-0.035173
446,-0.124084
447,0.124084
448,-0.02638
449,-0.916463
450,-0.704446
451,-0.553004
452,-0.561798
453,-1.526136
454,-0.253053
455,0.153395
456,-0.207132
457,-0.142648
458,0.002931
459,0.456277
460,0.817782
461,1.047386
462,0.213972
463,1.31998
464,1.518319
465,1.217391
466,0.653639
467,0.505129
468,0.817782
469,0.55105
470,0.736688
471,0.533464
472,0.350757
473,0.074255
474,0.048852
475,-0.04299
476,-0.421104
477,0.495359
478,-0.756229
479,-0.02638
480,0.14851
481,0.024426
482,-0.071324
483,-0.183683
484,-0.12213
485,0.237421
486,-0.034196
487,0.302882
488,0.675134
489,2
490,0.206155
491,0.940889
492,1.423547
493,0.747435
494,0.772838
495,0.851979
496,1.302394
497,0.213972
498,0.368344
499,0.554958
500,0.259893
501,0.063508
502,0.008793
503,0.233512
504,-0.450415
505,-0.249145
506,0.075232
507,-0.157303
508,0.020518
509,1.852467
510,0.319492
511,1.195896
512,1.2936
513,0.501221
514,1.097215
515,0.755252
516,1.050318
517,0.895945
518,-0.307767
519,0.638007
520,0.467025
521,0.189546
522,0.008793
523,0.250122
524,0.325354
525,-0.168051
526,0.022472
527,-1.009282
528,-0.059599
529,0.188569
530,-0.234489
531,-0.418173
